StateFIPS,State,Year,Value,Data Comment,Number of CWS,,Concentration
9,Connecticut,2000,86%,,6,,Concentration: (not-detected)
9,Connecticut,2001,13%,,2,,Concentration: (0-<=5)
9,Connecticut,2001,7%,,1,,Concentration: (>5)
9,Connecticut,2001,80%,,12,,Concentration: (not-detected)
9,Connecticut,2002,10%,,22,,Concentration: (0-<=5)
9,Connecticut,2002,4%,,9,,Concentration: (>5)
9,Connecticut,2002,86%,,197,,Concentration: (not-detected)
9,Connecticut,2003,5%,,11,,Concentration: (0-<=5)
9,Connecticut,2003,3%,,6,,Concentration: (>5)
9,Connecticut,2003,93%,,214,,Concentration: (not-detected)
9,Connecticut,2004,2%,,9,,Concentration: (0-<=5)
9,Connecticut,2004,2%,,6,,Concentration: (>5)
9,Connecticut,2004,96%,,382,,Concentration: (not-detected)
9,Connecticut,2005,3%,,8,,Concentration: (0-<=5)
9,Connecticut,2005,2%,,5,,Concentration: (>5)
9,Connecticut,2005,95%,,234,,Concentration: (not-detected)
9,Connecticut,2006,3%,,8,,Concentration: (0-<=5)
9,Connecticut,2006,2%,,5,,Concentration: (>5)
9,Connecticut,2006,95%,,224,,Concentration: (not-detected)
9,Connecticut,2007,2%,,9,,Concentration: (0-<=5)
9,Connecticut,2007,0%,,1,,Concentration: (>5)
9,Connecticut,2007,97%,,388,,Concentration: (not-detected)
9,Connecticut,2008,4%,,11,,Concentration: (0-<=5)
9,Connecticut,2008,0%,,1,,Concentration: (>5)
9,Connecticut,2008,95%,,252,,Concentration: (not-detected)
9,Connecticut,2009,4%,,11,,Concentration: (0-<=5)
9,Connecticut,2009,0%,,1,,Concentration: (>5)
9,Connecticut,2009,95%,,247,,Concentration: (not-detected)
9,Connecticut,2010,3%,,11,,Concentration: (0-<=5)
9,Connecticut,2010,0%,,0,,Concentration: (>5)
9,Connecticut,2010,97%,,392,,Concentration: (not-detected)
9,Connecticut,2011,3%,,8,,Concentration: (0-<=5)
9,Connecticut,2011,0%,,1,,Concentration: (>5)
9,Connecticut,2011,97%,,264,,Concentration: (not-detected)
9,Connecticut,2012,3%,,7,,Concentration: (0-<=5)
9,Connecticut,2012,0%,,1,,Concentration: (>5)
9,Connecticut,2012,97%,,262,,Concentration: (not-detected)
9,Connecticut,2013,1%,,6,,Concentration: (0-<=5)
9,Connecticut,2013,0%,,1,,Concentration: (>5)
9,Connecticut,2013,98%,,396,,Concentration: (not-detected)
9,Connecticut,2014,2%,,6,,Concentration: (0-<=5)
